catalogNumber,country,stateProvince,decimalLatitude,decimalLongitude,IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Regions),"IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Subregions), contextual (polygon)",Precipitation - annual (Bio12),Precipitation - seasonality (Bio15),WorldClim 2.1: Precipitation - annual,WorldClim 2.1: Precipitation - seasonality,Radiation - annual mean (Bio20),Radiation - seasonality (Bio23),Temperature - annual mean (Bio01),Temperature - annual range (Bio07),WorldClim 2.1: Temperature - annual mean,WorldClim 2.1: Temperature - annual range,Moisture Index - annual mean (Bio28),Forests of Australia 2018B,National Dynamic Land Cover,Vegetation types - present,NVIS 4.1 Major Vegetation Groups,NVIS 4.1 Major Vegetation Subgroups,Vegetation types - native
102.100.100/401650,Australia,New South Wales,-30.3655,152.73093,NSW North Coast,Coffs Coast and Escarpment,1551,49,1896,48.50891,16.6,26,15.7,24.1,15.1375,20.3,0.92,Rainforest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/139636,Australia,Queensland,-18.65067,146.15472,Wet Tropics,Herbert,1884,92,2573,118.294945,18.8,18,24.3,18.2,24.091667,19.2,0.72,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/138602,Australia,Northern Territory,-14.0825,136.4312,Arnhem Coast,Groote,1108,107,,,20.9,16,26.7,18.7,,,0.48,Eucalypt Medium Open,Primarily Non-Vegetated Waterbodies Water,Rainforest and vine thickets,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Rainforests and vine thickets
102.100.100/401553,Australia,New South Wales,-34.04907,150.73021,Sydney Basin,Cumberland,752,28,896,30.311909,17.2,34,17,24.9,16.970833,23.4,0.53,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/401636,Australia,New South Wales,-30.8367,152.9878,NSW North Coast,Macleay Hastings,1328,43,1413,40.496143,16.9,29,18.9,20.4,18.995832,17.5,0.82,Melaleuca,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Tall Open Forests,Eucalyptus tall open forest with a fine-leaved shrubby understorey,Eucalypt open forests
102.100.100/8263,Australia,Victoria,-35.11641,141.97633,Murray Darling Depression,Murray Mallee,311,26,346,20.255117,17.9,40,16.6,28,16.533333,27.4,0.29,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/7884,Australia,Western Australia,-34.117198,118.760492,Esperance Plains,Fitzgerald,432,30,417,31.491833,17.4,37,15.6,21.5,15.7,21.5,0.38,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,Mallee woodlands and shrublands,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/12463,Australia,Australian Capital Territory,-35.423883,148.797883,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Unknown/no data,Unknown/No data,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/12828,Australia,Queensland,-17.1036,145.61195,Wet Tropics,Bellenden Ker-Lamb,1941,78,2838,74.93887,18.7,18,20.3,16.9,19.508333,14.900001,0.84,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Warm Temperate Rainforest,Rainforests and vine thickets
102.100.100/138594,Australia,Northern Territory,-14.230668,136.817021,Arnhem Coast,Groote,1124,109,1043,111.02246,20.9,16,26.7,17.8,26.929167,17.000002,0.47,Eucalypt Medium Open,Primarily Non-Vegetated Waterbodies Water,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/8155,Australia,Northern Territory,-25.351,131.0423,Great Sandy Desert,Mackay,292,48,310,46.351765,21.9,24,21.2,34.8,21.5875,33.6,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/8525,Australia,Northern Territory,-12.430474,132.948521,Darwin Coastal,Darwin Coastal,1478,115,1531,115.488396,21.2,11,28.2,19,27.891666,17.3,0.49,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/16001,Australia,Tasmania,-41.77754,147.31891,Tasmanian Northern Midlands,Northern Midlands,584,18,596,16.754313,14.2,48,11.4,23.3,11.845834,22,0.65,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/9450,Australia,Australian Capital Territory,-35.3941,148.8271,South Eastern Highlands,Bondo,1125,16,1007,14.916702,15.8,40,10.5,25.8,9.975,24.5,0.8,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt open forests
102.100.100/8160,Australia,Northern Territory,-25.351,131.041,Great Sandy Desert,Mackay,292,48,313,45.5343,21.9,24,21.2,34.8,21.575,33.6,0.11,Acacia,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/12473,Australia,Australian Capital Territory,-35.42325,148.796767,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Unknown/no data,Unknown/No data,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/7061,Australia,Western Australia,-17.674133,125.2178,Central Kimberley,Mount Eliza,710,131,683,129.49004,22.2,14,27.3,28.9,27.554167,26,0.26,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Hummock grasslands,Hummock Grasslands,Hummock grasslands,Hummock grasslands
102.100.100/401612,Australia,New South Wales,-34.5669,150.6561,Sydney Basin,Illawarra,1362,24,1336,24.282618,15.6,36,15.8,21.3,15.458333,18.4,0.87,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus tall open forest,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Eucalypt open forests
102.100.100/139633,Australia,Queensland,-18.65067,146.15472,Wet Tropics,Herbert,1884,92,2573,118.294945,18.8,18,24.3,18.2,24.091667,19.2,0.72,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/9454,Australia,Australian Capital Territory,-35.5655,148.7831,Australian Alps,Snowy Mountains,1421,18,1043,14.834047,15.1,40,7.2,23.1,6.929167,22.9,0.9,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",Eucalypt open forests
102.100.100/12862,Australia,Northern Territory,-22.288806,133.613639,Burt Plain,Atartinga,318,81,263,65.71738,22.6,20,22.7,31.8,22.841667,32,0.1,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Hummock grasslands,Hummock Grasslands,Hummock grasslands,Hummock grasslands
102.100.100/401581,Australia,New South Wales,-33.73052,151.10703,Sydney Basin,Cumberland,1127,30,1242,28.940628,16.4,34,17.3,21.6,16.85,20.5,0.83,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Tall Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt open forests
102.100.100/7843,Australia,Australian Capital Territory,-35.151228,150.648699,Sydney Basin,Jervis,1193,20,1201,23.4959,15.8,38,17,16.9,16.541666,16.099998,0.75,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",
102.100.100/12487,Australia,New South Wales,-29.945633,144.111706,Mulga Lands,White Cliffs Plateau,276,32,285,29.746964,20.2,32,20.4,32.5,20.6625,30.599998,0.12,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/12858,Australia,Queensland,-27.386111,152.878872,South Eastern Queensland,Burringbar-Conondale Ranges,1032,45,1199,47.100925,18,24,19.9,22.9,19.554167,21.1,0.68,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings",Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/19489,Australia,New South Wales,-33.60518,150.7298,Sydney Basin,Cumberland,817,37,843,33.121967,17.1,33,17.7,26.2,17.329166,25.2,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/15885,Australia,Queensland,-13.74184,141.50677,Cape York Peninsula,Coastal Plains,1626,133,1531,127.64392,19.9,17,27,18,26.4625,17.600002,0.46,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",Tussock grasslands
102.100.100/401560,Australia,New South Wales,-33.61179,150.88022,Sydney Basin,Cumberland,869,35,905,31.606672,17,33,17.6,25,17.145834,23.7,0.63,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/401568,Australia,New South Wales,-33.67646,150.75291,Sydney Basin,Cumberland,825,37,866,33.37068,17,33,17.6,25.9,17.275,24.3,0.59,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Eucalyptus open forest,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",Eucalypt woodlands
102.100.100/7886,Australia,Western Australia,-34.117182,118.761527,Esperance Plains,Fitzgerald,432,30,417,31.491833,17.4,37,15.6,21.5,15.7,21.5,0.38,Eucalypt Mallee Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Scattered,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/12570,Australia,Australian Capital Territory,-35.874817,149.01165,South Eastern Highlands,Murrumbateman,662,16,696,15.965281,16.6,38,9.5,26.3,9.604167,26.5,0.63,Eucalypt Tall Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Tussock grasslands
102.100.100/9462,Australia,Australian Capital Territory,-35.43457,148.7989,South Eastern Highlands,Bondo,1134,16,1014,15.399722,15.7,40,10.1,25.6,9.5375,24.699999,0.81,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/8271,Australia,Victoria,-36.67146,142.28934,Murray Darling Depression,Wimmera,408,34,458,30.382557,16.8,43,14.7,27.1,14.620833,25.9,0.42,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/8122,Australia,Western Australia,-34.192167,119.425444,Esperance Plains,Fitzgerald,549,40,547,36.100838,17.1,38,16.1,19.8,15.879167,20.2,0.45,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/8162,Australia,Northern Territory,-25.3523,131.0343,Great Sandy Desert,Mackay,289,48,313,45.5343,21.9,24,21.3,34.9,21.575,33.6,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/12574,Australia,Australian Capital Territory,-35.8811,149.0083,South Eastern Highlands,Murrumbateman,641,17,723,14.555106,16.7,38,9.8,26.7,9.354167,26.1,0.61,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Tussock grasslands
102.100.100/19487,Australia,New South Wales,-33.60465,150.7304,Sydney Basin,Cumberland,821,37,843,33.121967,17.1,33,17.7,26.2,17.329166,25.2,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings",Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",Eucalypt woodlands
102.100.100/139634,Australia,Queensland,-18.65067,146.15472,Wet Tropics,Herbert,1884,92,2573,118.294945,18.8,18,24.3,18.2,24.091667,19.2,0.72,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/12521,Australia,New South Wales,-30.200669,149.597249,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/138538,Australia,Tasmania,-41.029754,147.008853,Furneaux,Flinders,776,27,810,30.820808,14.1,49,12.9,17.5,12.875,17.1,0.73,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt tall open forests
102.100.100/401660,Australia,New South Wales,-33.0839,150.22814,NSW South Western Slopes,Capertee Valley,644,24,686,27.729305,17.7,33,15.5,28.5,15.675,25.6,0.47,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/15979,Australia,Tasmania,-42.27031,146.89643,Tasmanian South East,South East,640,17,713,17.986122,13.7,48,8.9,21.6,9.466666,22.3,0.78,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/139639,Australia,Queensland,-18.65067,146.15472,Wet Tropics,Herbert,1884,92,2573,118.294945,18.8,18,24.3,18.2,24.091667,19.2,0.72,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/139645,Australia,Queensland,-18.65067,146.15472,Wet Tropics,Herbert,1884,92,2573,118.294945,18.8,18,24.3,18.2,24.091667,19.2,0.72,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/12461,Australia,Australian Capital Territory,-35.423733,148.797583,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Other forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Unknown/no data,Unknown/No data,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/12828,Australia,Queensland,-17.1036,145.61195,Wet Tropics,Bellenden Ker-Lamb,1941,78,2838,74.93887,18.7,18,20.3,16.9,19.508333,14.900001,0.84,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Warm Temperate Rainforest,Rainforests and vine thickets
102.100.100/12562,Australia,Australian Capital Territory,-35.8811,149.0083,South Eastern Highlands,Murrumbateman,641,17,723,14.555106,16.7,38,9.8,26.7,9.354167,26.1,0.61,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Tussock grasslands
